"Caudal","pH","Temperatura","Conductividad","Salinidad","Solidos.Totales","O2","O2p","DBO5","DQO","FT","NT","Turbidez","Coliformes"
711.5,7.76,19.7,1145,0.5,572,0.22,2.8,300,578,5.7936,34.4149,250,1700000
780.2,7.63,19.6,924,0.4,462,0.41,4.6,200,288,4.107,31.0727,190,6400000
93.94,7.84,17.6,857,0.4,429,2.21,27.2,270,372,6.2084,35.3903,210,1.3e+07
1405,7.73,15.9,980,0.4,490,2.84,32.4,180,347,4.072,27.7658,170,1.3e+07
10.95,8.13,18,170,0,85,6.92,83.6,6,13,0.1233,0.8859,6,20
74.13,7.72,13.9,575,0.2,288,4.63,56.7,100,147,3.3845,19.6646,100,1700000
420.5,7.63,17.1,1108,0.5,554,0.17,2.1,400,682,6.9927,40.1349,350,2.8e+07
659.5,7.57,25.7,1129,0.5,566,0.14,2.2,300,710,6.8823,33.8171,280,1.3e+07
670,7.57,26.9,1028,0.5,514,0.04,0.3,260,510,6.3812,29.191,340,1.3e+07
134.6,7.58,22.2,890,0.4,445,0.07,1.1,240,420,6.7045,46.3661,200,1400000
941.1,7.62,23.3,925,0.4,462,1.35,18.6,150,283,5.1946,26.263,160,7900000
5.757,7.33,24.9,171.6,0,86,5.15,70.8,3,8.5,0.1404,0.6757,2,24
102.8,7.51,15.7,553,0.2,277,2.27,28.8,240,552,4.396,24.2233,200,1.3e+07
412.3,7.47,21,645,0.2,323,1.85,23.9,210,485,4.613,25.8521,230,4600000
523.7,7.48,23.5,1223,0.6,612,0.42,5.8,280,622,8.0766,33.1064,240,7900000
1697,7.4,23.2,977,0.4,488,0.37,2.7,170,335,5.0947,31.0309,200,2.4e+07
56.35,7.32,20.9,702,0.3,352,0.89,12,280,407,7.3023,33.9884,250,7900000
289.8,7.12,24.1,829,0.3,415,0.23,3.2,450,860,7.2901,35.2885,660,2600000
84.27,7.67,23.5,911,0.4,457,0.63,9.1,210,470,6.3246,42.7466,180,4900000
1411.1,7.54,24.2,1144,0.5,572,0.87,11.7,140,385,4.5193,28.1845,140,1400000
16.68,7.6,25,175.3,0,88,4.9,66.4,3,17,0.1555,0.9003,2,23
530.4,7.57,23.5,1074,0.5,538,0.02,0.1,260,473,4.6721,35.1593,230,5.4e+07
870.6,7.61,23.9,973,0.4,487,0.01,0.3,180,403,3.4991,32.7404,200,1.7e+07
61.3,7.76,24.2,969,0.4,484,0.5,7,270,381,6.0092,45.4207,230,3300000
1130,7.62,24,1047,0.5,523,2.01,27.1,170,296,3.8804,28.7527,160,4900000
48.7,7.54,17.2,648,0.2,325,0.34,5.9,200,346,6.6831,32.1178,200,6400000
